t;x;y;q
1430;24;19.1;-1.3
1432;26.4;20.5;-1.6
1434;28;23.1;-1.6
1436;29.8;27;-1.3
1438;29.8;29.1;-2
1440;27.6;29.1;-1.6
1442;26.4;28;-1.3
1444;25;23.9;-2
1446;26.2;25.5;-1.7
1448;26.6;29.2;-1.5
1450;29.7;34;-2.1
1452;32.1;37.2;-1.5
1454;33;36.1;-1.7
1456;32.9;35;-1.9
1458;30.8;33;-1.5
1460;29.2;34;-1.8
1462;28.4;38.3;-1.6
1464;28.6;42.3;-1.5
1466;30.5;45.8;-1.6
1468;32.6;42.7;-1.8
1470;34.1;39.9;-1.3
1472;35.4;41.5;-1.6
1474;33.6;43.8;-2
1476;30.4;46.7;-1.5
1478;28;48.1;-1.8
1480;27.9;47.5;-2.1
1482;30.1;41.6;-1.4
1484;32.9;42.1;-1.7
1486;34.5;46.1;-1.9
1488;34.4;49.5;-1.5
1490;33.5;52.7;-1.5
1492;30.2;51.4;-1.8
1494;30.5;47.1;-1.3
1496;31.6;49.5;-1.6
1498;33.3;52.9;-2.2
1500;36;54.7;-1
1502;35.3;52.7;-2.2
1504;34.7;50.8;-1.5
1506;32.7;47.5;-1.2
1508;32.3;50.6;-2.2
1510;32.9;54.9;-0.5
1512;34;55.2;-1.6
1514;35.2;50.5;-2.6
1516;35.5;51.6;-0.5
1518;34.3;51.1;-2.1
1520;32.2;53.9;-1.5
1522;32.6;59.4;-1.4
1524;34;53.4;-2
1526;35.8;51.3;-1.4
1528;36.4;54.3;-1.2
1530;36.2;55.8;-2
1532;34.7;57.3;-1.6
1534;33.7;53.9;-1.4
1536;34;51.1;-1.8
1538;35.6;55.1;-1.7
1540;37.1;57.2;-1.3
1542;36;56;-1.7
1544;33.9;50.8;-2
1546;34.1;52.4;-1.7
1548;35;58;-1.5
1550;35.6;58.7;-2
1552;35.7;55.8;-0.9
1554;35.9;55.5;-1.7
1556;33.8;57.9;-2.4
1558;34.5;62.3;-1.2
1560;36.4;59.9;-2
1562;38;52.5;-1.7
1564;38.3;55.1;-1.2
1566;37.1;60.2;-1.9
1568;35;61;-2
1570;36.7;56.9;-1.5
1572;38.1;54;-1.6
1574;38.2;61.4;-1.6
1576;37.7;65.6;-1.4
1578;36.7;60.4;-1.7
1580;37.1;55.2;-1.9
1582;37.4;60.6;-1.8
1584;38.4;64.8;-1.5
1586;38.7;60.9;-2
1588;36.3;54.9;-1.7
1590;34.3;60.2;-1.2
1592;35.6;66.7;-1.8
1594;37.5;59.2;-1.6
1596;38.9;55.3;-1.7
1598;36.8;59.2;-1.7
1600;37.2;68.3;-1.7
1602;39;63.9;-1.5
1604;39.8;55.1;-1.5
1606;40.9;63.7;-1.3
1608;39.7;67.5;-1.8
1610;37.9;60.7;-2.3
1612;39.1;55;-1.2
1614;42;65.6;-1.6
1616;41.1;67.8;-1.7
1618;38;59.8;-0.7
1620;37.2;58.5;-2
1622;39.7;66.5;-2.2
1624;42.7;66.9;-1
1626;40.1;59.8;-2.2
1628;37.7;61.3;-1.5
1630;37.8;68.1;-1.2
1632;40;63.2;-2.5
1634;40.3;62.8;-1.1
1636;38.6;67;-2
1638;38.7;68.3;-1.9
1640;39.4;60.2;-1.2
1642;41.8;64.8;-2.2
1644;40.3;70.3;-1.3
1646;37.9;64.6;-1.6
1648;38.1;63.5;-2.1
1650;41.2;69.8;-1.5
1652;41.8;66.9;-1.5
1654;40.7;63.7;-2
1656;38.7;66.4;-1.6
1658;41.5;69.8;-1.8
1660;41.6;60.1;-2
1662;40.7;66.4;-1.4
1664;40.2;72.6;-1.6
1666;40.7;63.2;-2
