t;x;y;q
826;-13.6;-34.2;-1.1
828;-13.9;-34.4;-1.3
830;-13.6;-35.2;-1.4
832;-13.6;-35;-1.4
834;-13.9;-35.7;-1.6
836;-13.4;-34.2;-1.3
838;-14;-34.4;-1.6
840;-13.6;-34.7;-1.4
842;-13.5;-35.5;-1.4
844;-13.9;-36;-1.6
846;-13.8;-34.4;-1.5
848;-13.8;-34.4;-1.5
850;-13.7;-34.5;-1.4
852;-13.4;-35;-1.5
854;-13.6;-35.3;-1.5
856;-13.6;-34.9;-1.7
858;-13.8;-34.6;-1.1
860;-13.9;-35;-1.5
862;-13.7;-35.1;-1.8
864;-13.6;-35.3;-1.5
866;-13.6;-35.2;-1.5
868;-13.5;-34.5;-1.8
870;-13.8;-34.8;-1.5
872;-13.5;-34.4;-1.3
874;-13.8;-35.7;-1.6
876;-13.6;-35;-1.2
878;-13.6;-34.9;-1.5
880;-13.5;-34.2;-2
882;-13.8;-34.4;-1.5
884;-13.9;-35;-1.4
886;-13.7;-35.2;-1.6
888;-13.7;-35.5;-1.5
890;-13.7;-35;-1.4
892;-13.5;-34.2;-1.2
894;-13.7;-34.1;-1.6
896;-13.9;-35.5;-1.4
898;-13.6;-35.3;-1.1
900;-13.9;-35.7;-1.7
902;-14;-35;-1.7
904;-13.8;-34.3;-1.3
906;-13.6;-34.5;-1.6
908;-13.4;-34.9;-1.6
910;-13.6;-35.1;-1.4
912;-13.5;-34.4;-2.2
914;-13.8;-34.6;-1.7
916;-13.7;-34.3;-1.6
918;-13.8;-34.7;-1.5
920;-13.5;-35.1;-1.3
922;-13.5;-35.3;-1.8
924;-14;-35.2;-1.5
926;-13.7;-33.6;-1.2
928;-13.7;-34.2;-2
930;-13.8;-35.5;-1.4
932;-13.5;-35.3;-1.3
934;-13.6;-34.7;-1.9
936;-13.6;-33.9;-1.2
938;-13.6;-34.3;-1.6
940;-13.7;-35.2;-1.6
942;-13.7;-35;-1.2
944;-13.6;-34.9;-1.1
946;-13.5;-34.4;-1.8
948;-13.9;-34.7;-1.8
950;-13.8;-34.8;-1.3
952;-13.5;-34.8;-1.3
954;-13.5;-35.2;-1.7
956;-13.7;-34.9;-1.5
958;-13.8;-34.7;-1.3
960;-13.4;-34;-1.6
962;-13.7;-34.7;-1.6
964;-13.5;-35;-1.1
966;-13.5;-35.3;-1.5
968;-13.8;-34.8;-1.5
970;-13.5;-34;-1.2
972;-13.7;-35;-1.4
974;-13.5;-35.1;-1.5
976;-13.9;-35.6;-1.6
978;-13.9;-35.3;-1.5
980;-13.5;-34.1;-1.3
982;-13.8;-34.7;-1
984;-13.6;-35.1;-1.6
986;-13.8;-35.7;-1.4
988;-13.7;-34.7;-1.4
990;-14;-34.4;-1.4
992;-13.9;-34.8;-1.7
994;-13.5;-34.8;-1.5
996;-14;-36;-1.3
998;-13.7;-35.1;-1.4
1000;-13.6;-33.9;-1.8
1002;-13.8;-34.4;-1.4
1004;-13.6;-35.4;-1.4
1006;-13.8;-35.6;-1.7
1008;-13.4;-35.1;-1.2
1010;-13.7;-34.2;-1.5
1012;-13.7;-34.6;-1.5
1014;-13.9;-35.1;-1.2
1016;-13.6;-35.5;-1.6
1018;-13.6;-35;-1.7
